Id_pelicula,Puntuacion_imdb,Puntuacion_rotten,Directores,Guionistas,Argumento,Duracion,Nombre_pelicula
tt15839324,,,Lee Manansala,Lee Manansala,Two Parisians fall in and out of love within the space of one year.,,One Year of Khadijah and Pauline
tt29880055,,,Frantz Dorsainvil,Marc Desulme,"A story of love, deception, suspense, lust and lies. Daniel is a professional guidance counselor who is on the quest for true love. Will he find the love of his life or is he simply a player, or will he lose his mind on the quest for love?",,Presyon Lanmou
tt3349540,7.9,100,Patricia Chica,Charles Hall,A reclusive woman holds the secret to a series of mysterious child disappearances in a small northern community.,,Serpent's Lullaby
tt12792918,,78,Christopher Siaens,Samantha Hallenus,A young girl searches for companionship after the death of her mother and ends up in the dark world of human trafficking.,,A Remnant of Who I Once Was
tt7997642,,,,,,,Will You
tt15838444,,,Adeolu Adeniyi,Inyang Edoho,A successful actress is torn between staying with a physically abusive husband and disappointing her friends and fans by leaving to save her life.,,Sleeved
tt1747993,,,,,,,Dreaming Uphill
tt9052110,,,Ana C. Parra Bernal,Simmie Sangian,"A troubled Mia wakes up from a nightmare about writing her suicide letter. Instead of going back to sleep, she continues to write it. She seeks help in her best friend Chrissy, who happens to be a therapist, as she tries to figure out why she wrote it and what it means.",,The Lucid Letter
tt2450114,,,,,,,The Big Board
tt9415476,,,Jason Liquori,Jason Liquori,Santa has something besides delivering gifts on his mind this Christmas Eve.,,Strange Gifts
tt2522050,,,Matthew Szczerbienski,Matthew Szczerbienski,Two hit men looking to make a name for themselves in the boardwalk's crime organization just can't get ahead.,,Two Heads Are Better Than One
tt4248634,,95,,,,,Kulukki
tt9188090,,92,Gonnie Zur,Gonnie Zur,"Struggling to get clean, caught between reality and delusion, Rachel is continuously faced with the hooking embodiment of her drug addiction.",,Foam
tt7193504,9.5,,,,,,Beauty
tt3270108,5.9,64,Ami Canaan Mann,Ami Canaan Mann,"A modern day train hopper fighting to become a successful musician, and a single mom battling to maintain custody of her daughter, defy their circumstances by coming together in a relationship that may change each others lives forever.",90.0,Jackie & Ryan
tt3110588,,100,,,,,Remember This?
tt5843838,5.1,,Brian Levant,Steven Altiere,"Max es asignado a la Casa Blanca, donde conoce al hijo del Presidente, TJ, un niño de 12 años.",85.0,Max 2: White House Hero
tt28693460,,59,,,,,Mario Says Spongebob
tt6616800,6.1,68,B. Unnikrishnan,B. Unnikrishnan,"A killer who teases the entire police department with his flawless crimes, gets chased by a retired stylish cop whose past influence the killer's future with the cat and mouse game getting out of hand.",143.0,Villain
tt19390474,,96,Malyaj Awasthi,Malyaj Awasthi,,,In Shadows We Hide
tt19767718,,,Nick Pollack,Nick Pollack,,,Slow Dance
tt25314388,9.2,14,Anton Kostrov,Anton Kostrov,"After his friend's death a former Finnish film star turns to a life of crime as a hired gun. Years later on a mission in Cuba, he runs into a face that reminds him of the past.",,Punainen Planeetta
tt7172558,,,Raju Parsekar,Anand Mhasvekar,"Durga Mhantyat Mala' is about a Tamasha dancer, Durga (Deepali Sayeed), a cultured and educated woman. Durga's mother Suguna (Usha Naik) wants her to settle down and get married in a descent family. But events take a turn and she lands up in a loony bin because her would-be husband is mowed down by villains who lustily eye her, on her wedding day. Enter Dr.Vijay, (Mi... Leer todo",,Durga Mhantat Mala
tt13499220,,,Jennifer Msumba,Jennifer Msumba,,,"Please, Call Me Dick"
tt30804655,10.0,,,,,,Mamie
tt31846915,8.2,90,Paulo Sloboda,Kethy Kist,"This is about a girl named Bea who is a lesbian and has just gotten out of a breakup. Her experience with other girls has been frustrating. She meets her friend, Ana, who is bisexual, and they start to hang out, with a promise that this is all there is. With time, things start to escalate, and their situation changes.",,Situationship - Amigas coloridas
tt2470060,6.2,,William Scherer,William Scherer,A mother and daughter fight a minister for possession of their new home.,,House on Rodeo Gulch
tt4663764,,89,Gabriel Reyes,Gabriel Reyes,A man leaves his girlfriend for a woman he meets in a bar. The woman introduces him to the world of recreational drugs.,,Nostalgia Eterna
tt26757566,,,Prince Iyke Olisa,Prince Iyke Olisa,,,Next Door Nuisance
tt4160290,,,,,,,The Craft of Beer: A Hopumentary
tt18077488,,,Kabat Esosa Egbon,Musa Jeffery David,"An abused woman finds hope after her husband's death, but some wounds never heal.",,Fury
tt32024098,,13,James Gamble,James Gamble,"While investigating incidents of human remains left in dumpsters across the city, two police detectives make a horrifying discovery.",,Waste Not
tt2169028,,98,David Alexander,,,,Building the Beasts
tt5740400,,100,Nicolas Collins,Nicolas Collins,"Olive is a twenty something female living in West Oakland who's in the midst of preparing a new chapter in her life, welcoming her new roommates, Brad and Nina. When the couple arrives at her doorstep, conflict ensues as their relationship already appears to be on the rocks. Olive must help the bickering duo move into her home while being reminded of the previous tena... Leer todo",,Olivia
tt3165218,8.3,,Fred Arne Wergeland,Fred Arne Wergeland,"Let's Go Get Small features Dave Treadway as he, together with Henrik Windstedt, venture way out into the Canadian Coast Range on snowmobiles. Their mission? To explore. To simply see what's on the other side of the next mountain. To see what's possible on skis. Watch them push limits in order to explore the unexplored, all while feeling really small in the vast terri... Leer todo",,Let's Go Get Small
tt2052014,,,,,,,Watashitachi no natsu
tt2594154,,,,,,,Serial Dater
tt2196116,6.4,,Ainslie Henderson,Ainslie Henderson,A surreal trip through the subconscious of a stifled musician as he struggles to sing.,,I Am Tom Moody
tt2147736,,,Christopher Damm,Kathryn Soler,A guy moves into a new neighborhood. He notices a girl by his neighbor's house and tries to befriend her. The girl turns out to be a victim of human trafficking.,,Fairy Tale Next Door
tt7156434,,,Adam Wagner,Adam Wagner,"In a flea market where treasures go to die, a struggling romantic questions reality when he meets a character from a mysterious old book. This short glimpse into the magical love story of August and Daphne opens well after the two have met. As Daphne continues to discover the treasures of August's flea market, he struggles to let go of his past. He might still believe... Leer todo",,Secondhand
tt10736172,,,Jason Snellman,Jason Snellman,"After surviving an attempt on his life, a disgraced police officer enlists the help of his partner to seek revenge.",,A Blue Shroud
tt7972550,,,Jamie Lee Sterritt,Jamie Lee Sterritt,"After David's girlfriend is attacked, David and Jamie set out for revenge. Soon they are blackmailed into handing over a large sum of money which is easy enough for them. Should David and Jamie give into their demands? Or try and take out the unknown and dangerous opponents instead?",,Dark Love 2
tt4005906,6.6,,Spencer Gillis,Spencer Gillis,"Three men meet in a strained chance encounter at a local recycling center. A tense exchange transforms into a remarkable bond transcending their differences, but a startling arrival leads to an unforgivable parting.",,Sweep
tt8880064,,,Dennis Polanco,Dennis Polanco,"Shadow Lands: An Urban Music-Drama: A street-entrenched 12 year-old struggles to learn that there is more to life outside the streets, until a down-and-out uncle introduces music and running in the hopes that she can battle her own personal demons.",,Shadow Lands
tt3077286,6.3,5,Craig Rutherford,Craig Rutherford,A short film about the unanswerable questions of life as seen through the eyes of two children.,,The Uneducated
tt5020524,,,Annika Ciul,Annika Ciul,"While following her passion for music, Jemma finds herself stuck having to make the impossible decision of choosing between her best friend or following her dreams.",,Musical Hearts
tt5859264,,,,,,,If a SWAT Team Member Was also Apartment Hunting
tt3295256,6.7,100,Alexander Cooper,Alexander Cooper,An impressionable Launceston Elliot comes under the spell of the iconic Sandow The Magnificent. He seeks out his idol and becomes his protégée.,,Sandow
tt4513286,,,Elliot Janks,Elliot Janks,"Having left the love of his life to serve in the Second World War, young American soldier Danny is killed in action and finds himself trapped in a timeless train station. Guided by an unlikely companion, Danny must confront his past if he ever hopes to move on.",,Exit This Way
tt10240450,4.8,,Adi Wojaczek,Adi Wojaczek,"The young segregated dancer Malou is irresistibly fighting for her dream of a career on the big stage. After years of struggle and rejection, she suddenly receives her once in a lifetime chance - leading up to an unexpected reveal.",,Malou
tt7821888,,,Ethan Breinholt,Ethan Breinholt,"After James Bond leaves the service, he moves to the US to pursue an odd career path.",,No Time to Vibe
tt5344186,7.6,,Giulia Brazzale,Giulia Brazzale,"The Captain, a veteran of war, lives in a mysterious forest with a young and odd squire. The sudden arrival of a soldier, who has lost his memory, triggers a series of unmpredictable events.",,Le guerre horrende
tt5428966,,,Clint Mouriño,Stephanie Ceballos,"Perception is how people see things, even if we don't.",,Perception
tt5946552,4.4,,Justin Hunt,Justin Hunt,"Like it or not, porn is here and it is harmful. In this controversial film, award-winning filmmaker Justin Hunt dissects the impact of pornography on societies around the globe, from how it affects the brain of the individual, to how modern technology leads to greater exposure to youth, to watching it literally tear a family apart. In what may well be one of the most ... Leer todo",82.0,Addicted to Porn: Chasing the Cardboard Butterfly
tt5340410,,,Jason P. Lewis,Jason P. Lewis,,,Opus 1
tt29224166,,,,,,,The Attic
tt1967666,,,,,,,Yasashii te
tt4722118,7.2,,Michael Binz,Michael Binz,"After an accident Herman learns that he suffers from the rare Kahnawake syndrome, which causes him that the emotion ""fear"" falls out whereby he is forced to try out all phobias to become normal again.",,Herman the German
tt6767140,4.9,,Ralph Sepe,Ralph Sepe,Two brothers are forced to run from their normal lives after one of them commits a horrible crime.,,Brother's Paradise
tt1801832,,,,,,,Southern Justice
tt1582478,6.5,,Veeru Potla,Veeru Potla,Ajay (Manoj Manchu) and his parents are estranged from their joint family in Rayalaseema. Ajay belongs to the family of Mahendra Naidu (Ahuti Prasad). Seshadri Naidu (Jaya Prakash Reddy) is the enemy of Mahendra Naidu. They keep killing each other's family members. The story is about how the free-spirited Ajay puts an end to this and unites both families.,,Bindaas
tt13184332,,,Jake Novak,Jake Novak,,,Zooming Out
tt29200393,,,Matthijs van Heijningen Jr.,,"""The more you watch Canal+, the more you love cinema.""",,Canal+ the Bear
tt6131980,,5,Esteban Ciudad,Santiago Pajares,,,La Lima
tt5970392,,,,,,,Acorn Hunter
tt3861504,,,,,,,Lost/Atonement
tt9806222,6.6,,Rupert Henning,Uli Brée,"Paul Silberstein, youngest son of an urbane but deeply-strange old Austrian dynasty of confectionery millionaires, discovers the power of love and humor--and also his own extraordinary ability to shape his realities.",,"Wie ich lernte, bei mir selbst Kind zu sein"
tt5150418,,,Tayo Amos,Tayo Amos,A recent college graduate reads a letter she wrote herself as an incoming freshman.,,To Emmy
tt5791374,,,Kent Sutton,Kent Sutton,,,Black Two Sugars
tt2424668,7.7,93,Patrícia Couveiro,Patrícia Couveiro,"Lisbon. Santo António's night. A friend's dinner party in a house, in a typical neighborhood. One of the guests, Martin, owner of a colossal Afro hair, gets stuck in the front door.",,"Por Favor, Não Toques na Minha Afro"
tt7943162,4.9,100,Valliganth,Pandiraj,"A vegetable vendor marries a girl against her father's wish. The couple, with the help of their respective mothers, manage to hide it from the girl's father till she gives birth to a child.",,Semma
tt24670180,,,Atlas Scott,Jacob Harper,"On this episode of ""Workers on Strike"" The team investigates Santa's famous workshop. Where numerous EPA (Elf Protection Agency) violations have led to a toxic work environment.",,Workers on Strike: Santa's Workshop
tt1744580,7.7,,Alex Helfrecht,Jörg Tittel,"Mr. Rogulski (Julian Glover) lives in Oxford in a house that time forgot, alone since his beloved wife's death. One morning, he sets off for a walk to go and feed the pigeons in Oriel Square. An encounter with the helpful young Steven (Max Fowler) leads to the scooter ride of his life. Mr. Rogulski invites his new friend into his home for tea and proudly admits it's h... Leer todo",,Battle for Britain
tt3286214,,,,,,,Seven Digits
tt4418300,,,Stuart Edwards,,"In a quiet street in East Kilbride, near Glasgow, life moves slowly for the small and frail 95 year-old Chrissy, who is a determined and feisty wee woman who still carries out her daily tasks to keep herself busy and active.Carers and doctors keep telling her to rest and take things easy, which she finds genuinely insulting, as if that`s something elderly people would... Leer todo",,A Wee Night In
tt6792090,,,Bradley Van Rooi,Bradley Van Rooi,,,Sudanese Cowboy
tt8074238,,50,Álvaro García Company,David Tarí,,,La redención del lobo
tt12811086,,70,Jetske Lieber,Jetske Lieber,,,De Krantenman
tt7546302,,,,,,,Snail Girl
tt10572886,,,M. Nero Nava,Kirt Barnes,"A man loses his best friend to suicide. This man tries to endure loss, support family and friends, and preserve his best friend's reputation and relationship while compartmentalizing his own grief.",,Rest
tt6532580,,,Smitha Lee,Ashley Ibry,David finds himself struggling with his pass job of tricking women to fall in love with him and his new job of mending hearts.,,Love Thief
tt4758788,,100,Jordan Hayes,Jordan Hayes,The ultimate relationship test... A couple moves in together and tries to assemble a bed.,,The Bed
tt14325956,,85,Natasha Adams,Parvinder Shergill,,,Mindset
tt6272302,,,Zohreh Khosravi,Esmaeil Mihandoost,Frank sociology student researching for his dissertation thesis has chosen divination and spells. She plans to visit one of these centers and.,,Foggy Life
tt16954634,,,,,,,The Man Your Man Could Smell Like: Response
tt6529398,8.5,,Josafat Concepcion,Uzziel P. Leon,,,Eat Shit Bitch
tt8490516,,,Garrett Fisher,Garrett Fisher,"When the mortal Proto declares his beauty divine by branding himself with a molten snake, he infuriates the vengeful Goddess of Beauty. Thrown into a dungeon of men doomed to an eternal, tortuous orgy, Proto is tried by the Goddess' son, the God of Love. When passion ignites between the gorgeous God and man, the world's fate hangs in the balance and the Goddess knows ... Leer todo",,Box of Beauty
tt11300908,,,Ryan Sheehy,Ryan Sheehy,"Tom Delancy is inches away from ending his life when he receives a call from Howard, a life assurance agent at Pen Island. After a free trial of their service, Tom finds friendship and regains his will to live.",,Pen Island
tt5440922,,,John Heath,Ty Fanning,"After her past lover escapes from prison, Julia, now married to another man, must choose between escaping to a new life with the man of her dreams or stay with her husband.",,Powerless
tt1234654,6.1,77,Noah Baumbach,Jennifer Jason Leigh,"Un hombre de Los Ángeles, mudado a Nueva York hace años, regresa a Los Ángeles para redescubrir su vida mientras cuida a su hermano. Pronto descubre la química entre él y la asistente de su hermano.",107.0,Greenberg
tt9070114,,,,,,,A Photo of Me
tt3569242,,5,Øivind Næss,Øivind Næss,"High school student Cole decides to act on a crush. His love interest, Lena, is older and wrapped up in issues with the opposite sex. When Cole opens the door and steps into her life they both change, forever.",,The Overlooked
tt4273826,,53,,,,,People Like Us
tt4325760,,,Michael Trice,Tom Lazarus,A gun collector finally has a chance to buy Jack Ruby's infamous gun but suddenly things spin out of control.,,The Gun Collector
tt9420174,,,Tung Ying Hsieh,Tung Ying Hsieh,"A man believes part of his dead wife is left in the VR world. His obsession of the chance to reunite, exposes himself to the world of unknown.",,The Field
tt2217738,9.4,,Daniel Clements,Daniel Clements,"A woman, completely immersed in all forms of electronic social networking, is thrown into a situation where she only gets one last chance to send one last text message to one last person.",,Laughing Out Loud
tt11133472,7.7,,Udoka Oyeka,Abba Makama,"Due to a case of mistaken identity, three dissatisfied friends are contracted to commit a seemingly simple theft. Even worse, the man originally contracted for the job is on the hunt for them.",,Three Thieves
tt6766486,6.8,,Teddy Nygh,Femi Oyeniran,"Deep It is a powerful drama that explores the real impact of carrying a knife on young people and their communities. The message is loud and clear, there is no such thing as a victimless crime. Everyone gets hurt in the process.",,Deep It
tt5333956,7.4,99,Vesela Kazakova,Vesela Kazakova,"While the left idea conceived by Karl Marx gains popularity around the world, a country from the former Socialist block is torn apart by Communist apparatchiks and informers. 25 years after the fall of Communism a young Bulgarian opens her Grandad's Secret Service file to unravel the past and find answers to why the Socialist idea had failed so badly in reality. When ... Leer todo",,The Beast Is Still Alive
tt30971472,6.7,90,Hikmat Rahimov,Hikmat Rahimov,"Akif's parents, Ahmet and Elnara, who grew up illiterate and without any profession, without love, took Akif out of school and were busy looking for a job for him. A poor family living in a poor house turn to Akif's drug addict uncle Azer, who is engaged in car repair, to provide him with a job. Moreover, Elnara's brother, Mansur, who works as a laborer, took refuge i... Leer todo",,Apatiya
tt26448138,,78,Jorge Luis Villacorta Santamato,Jorge Luis Villacorta Santamato,"ParlaNchíno is a Chinese reporter. He follows the rules imposed by the wise Chinese Communist Party. He points out that to survive, film producers must make money. The same happens in the US and Japan. The movie director oversees the film.",,ParlaNchíno Ateo: Errorista Comunista 32
tt10919548,,,Tom Krueger,Tom Krueger,,,Deep on Hog Mountain
tt3839828,,,,,,,La vida es un rocanrol
tt27130840,,78,Nana Duffuor,Nana Duffuor,"Amidst rising social and political pressure in Ghana, a God-fearing mother must confront her fear of accepting her son's sexual identity.",,Confirmation
tt2142767,,,Frank Ramos,Frank Ramos,"Gene is a well-to-do college student who lives vicariously through his best friend JP, the rebel without a cause. Gene soon finds himself lost in a world of sex, drugs, and rock and roll, and is faced with the question, 'Who am I really?'",,Gene's Revolution
tt2627642,7.6,,,,,,The Ghost Wife
tt2651070,,80,Sean Benson,Sean Benson,"In this award-winning surreal comedy we follow Dave, a high-strung Sarasotian man, making a last-minute attempt to save his relationship. In desperation he sells his beautiful '70s Chevelle for an engagement ring and chases after his girl. Dave's world spirals out of control and he slips deeper into madness as he juggles the proposal, a soon-to-vanish job offer, his n... Leer todo",,The Forever
tt5047626,,,Matt Somogyi,Matt Somogyi,An ambitious writer discovers his employer's bizarre secret as he confronts him about an affair he had with his sister the night before.,,Carnal Nostalgia
tt7628334,,,Haad Bakshi,Thomas Vaillancourt,"Sara, looking for a connection gives online dating a try after being pestered by her mother. She goes out with Eric who can't seem to overcome his connection with his phone.",,#Connected
tt1840333,,,,,,,Hi Fives Across America
tt27941815,,63,,,,,Fox
tt2075227,8.3,,Mike Plant,Mike Plant,"A struggling songwriter deals with grief, loss and guilt. But are those his biggest problem?",,Just for Us
tt28870706,,78,Biodun Jimoh,Olamide Laoye,,,Igbale
tt29939980,7.7,,Bobby Barbacioru,Bobby Barbacioru,,,2020
tt19869032,,85,Estelle Michelet,Davia Bruno,"Follow the destiny of Marc Thomas; a very lonely social network addict, ready to do anything for attention.",,Delirium
tt5912798,,,Mehmet Akif Büyükatalay,Mehmet Akif Büyükatalay,"Harun, the son of Turkish migrants, loses his apartment and has to overcome the night all alone. He roams through the dark streets of Cologne, makes and loses friends at an art exhibition, geht's humiliated in a supermarket, and finds refuge and despair in a backyard mosque. The next morning, he rides the train to his former hometown and gets in touch with old friends... Leer todo",,Even If
tt5912052,6.6,,Motonori Sakakibara,Hiroshi Saitô,Un gatito perdido intenta encontrar la manera de volver a casa.,89.0,Rudorufu to Ippaiattena
tt5075954,,,,,,,Waiting for...
tt2009589,4.1,,R. Ammu Ramesh,Poonam Bajwa,"Azhagiri (Narain) and his sister Shanmughapriya (Meena) are siblings who live only for each other. Azhagiri is a student and his sister is a lecturer. Saissa (N. Santhanam) and the crew form his sidekicks and Valayapatti (M. S. Bhaskar) is their professor, who invariable falls quarry to Saissa's unwitting jokes and intentional pranks. Azhagiri goes to Thambikkotai on ... Leer todo",,Thambikottai
tt12491694,,,,,,,Rooftop
tt5869736,,,Alex Gans,Jared Bonner,"It's Sunday and the McClarry clan is facing off for yet another birthday brunch when news of an impending disaster breaks. With three minutes left to live, the family delves into a no-holds-barred frenzy of accusations hurled, secrets revealed and frittatas insulted. When the dust settles and the smoke clears, will this catastrophe bring them closer or will they die a... Leer todo",,The Last Frittata
tt22054422,,,Maxi Antonia Stumpp,Maxi Antonia Stumpp,"Stained. In our commercial for the detergent company Persil, we're telling a world where people magically get smudged for illegal, immoral, or shady acts. So every person in our spot walks around with dirty clothes, and all protagonists get one more stain after their reprehensible deeds. At the end of the commercial, Persil uses a claim to distance itself from respons... Leer todo",,Stained.
tt2033469,,,Trevor Silverstein,Trevor Silverstein,"Garth Clark, an aging stand-up comedian, used to be the biggest name in the business. Now, in the moments before his first show in fifteen years, he must convince himself that he is still, well, funny.",,Who's Garth Clark?
tt10407880,,100,,,,,Wetland
tt3162840,,,,,,,The Talk
tt14395386,,,Natalie Berg,,,,IL Lottery TV Commercial
tt13055648,,,Mariano Rodriguez Ingold,Rodriga Cavalherio,,,The Meeting
tt31107063,6.0,90,Justinas Krisiunas,Vaida Baranove,,,Draugu lazybos
tt5467852,5.4,,Sion Sono,Ken Wakui,"On this second movie, Tatsuhiko Shiratori moves to Yokohama from Shinjuku, Tokyo. He comes into conflict with Masaki Taki who is the CEO of a scout company.",,Shinjuku suwan II
tt3874796,,,Christine Buijs,Christine Buijs,Performance-enhancing drugs reach new heights.,,Bodymax
tt5963576,,,Ivi Navarrete,Ivi Navarrete,"Inside a filmmaker's life; her challenges, work, and social life!",,Boss Babe
tt2902372,6.4,95,Maxim Kuphal-Potapenko,Rebekka Reuber,"Escaped from the cruelties in the Russian army, Kolja (19) has to hide in his sister's apartment in Germany. When coming to the rescue of a neighbors kid, he accidentally draws attention on him.",,Dedowtschina
tt5931752,,56,Katie Fabel,Katie Fabel,PSFU Comedy - Political Satire For(From) The Underinformed (PSFU) present a (self-proclaimed brilliant) idea of how to make politics more accessible in their pilot 'ELECTIVE DANCE' by exploring what the US electoral race 2016 would look like if it was an expressive dance piece. They fill a dance studio with Candidate representatives and let it fly....,,Elective Dance
tt9212840,,,,,,,Girl Band
tt27553467,,92,Stine Moldfjell,Stine Moldfjell,"French Lilou arrives at her boyfriend Edvard's apartment in Oslo. Alone and a stranger in the city, she waits for him to come home from work.",,Pour Lilou
tt2669134,,,Tim Guzman,William Camacho III,"David and Megan, a newlywed couple, have their world turned upside when David has an accident that leaves him paralyzed.",,Between Houses and Homes
tt13057280,,,Alonso Izaguirre,Alonso Izaguirre,"A man gives a workshop on In Search of Lost Time, by Marcel Proust. Under the excess of the project, failure is on the horizon. However, after meeting a woman, he decides to share his time with her between silence and the passing of days.",,El Tiempo y el Silencio
tt7685578,,,Jordan Horsch,Jordan Horsch,"As a meteor crashes towards earth, Cecilia is given visions of the future, and will do what she must to save the human race.",,Cecilia
tt6051996,,,Daniele Lucca,Daniele Lucca,Three broke Italians pull off a robbery in neighboring Switzerland. The heist profits them less than they expected; the journey back to Italy is going to show who they really are.,,Beyond the Border
tt10926954,,,Mark Casimir Dyniewicz Jr.,,,,Jonah Hex: Behind the Scenes ~ B-Roll 1
tt6088898,,,Joseph Dutra,Joseph Dutra,"When a mute-bubblegum blowing cheerleader is the only witness to three high school mascots killed by each other's hand, her story leads down to a dark-comedic film noir tale of power, recognition, sports, and what it really means to take your position seriously.",,The Locker Room Mascot Massacre
tt2405266,,67,,,,,L'esprit de L'escalier
tt21852920,,,Vladic Ravich,Vladic Ravich,,,The producer
tt13755538,,80,Katherine Oostman,Katherine Oostman,"In the spring of 2020, with quarantine in full effect, Em makes an unlikely connection with her neighbor through their shared wall.",,There's Something Between Us
tt20215972,,85,Biodun Jimoh,Biodun Jimoh,,,Jagbajantis
tt8630008,,,David Jankowski,David Jankowski,,,Les Gros Cons
tt8432102,,,Kuesti Fraun,Kuesti Fraun,,,Kaputtccino
tt6675668,,,Vinnie Pagano,Vinnie Pagano,,,Bluish
tt5278346,,,Ashley Roque,Riv Roffino,"When a routine prisoner transfer goes wrong, FBI agents Farah Nguyen and Aiden Mathews must find a way to track down Johnna Shaw before she gets away.",,The Transfer
tt7620644,,13,Darren Holmquist,Darren Holmquist,When some goons plan to instigate a a fight scene with Darren once again he's done with that. But is that enough?,,Not Another Parking Lot Fight
tt30746345,,,Mutebi Farooq,Queen Ankunda,,,Ebugumu Ly'Ekivubuka
tt20767736,,43,Pablo Knote,Julian Dohmen,"A newcomer to a mental health unit wants to help his fellow patients. But instead of seeking healing through self-recognition, he builds castles in the air and thus becomes a great threat to his fellow sufferers and ultimately to himself.",,Die Unteren Tiefen
tt3379694,6.1,,Hirobumi Watanabe,Hirobumi Watanabe,"Takashi Hirayama, an unemployed, apathetic man, lives alone with his grandmother in Otawara City, Tochigi Prefecture. With no power or will to change his lazy lifestyle, he wastes his days away until one day, a girl comes to visit him, claiming to be the daughter of his dead father.",,Soshite dorobune wa yuku
tt22177548,8.3,49,Alexander Jeffery,Alexander Jeffery,"In the damp heat of a southern summer, a young girl finds out that her family is moving to a new city. As Addie hatches a plan to stay put, she seeks solace in the mysterious lightning bugs in her backyard.",,Addie and the Lightning Bugs
tt7925644,5.8,,,,,,The Tree
tt2672302,,,,,,,The Box
tt11558724,,,Jacob De Gaetano,Jacob De Gaetano,An overweight teen must overcome his father's disapproval when he decides to make a change to his diet.,,Table 12
tt4734104,,,Erik Krefeld,C.G. Masi,"The ghost of a Calusa Indian mystic leads Bonnie and Ronnie to a cache of silver, which they use to start a nature preserve and save their favorite picnic grove from developers.",,Bonnie Pureheart and the Golden Ghost
tt6231858,,,Balbir Begumpuri,Parminder Gill,"Pagri Singh Da Taaj' is a new Punjabi feature film that talks about Sikhism with its unique plot. This family entertainer has doses of drama, romance and action.",,Pagri Singh Da Taaj
tt6666398,,,Cheryl Lisa Bullock,Cheryl Lisa Bullock,A 25 year old thinks she is getting married...with a twist.,,Wedding Getaway
tt14118094,6.8,85,Larry Ketang,Liam White,Things turn sour when an amateur improv class meet for the first time after one of the group misjudges the situation.,,Doughnut
tt1632690,,,,,,,Welcome to My World
tt29430773,,,,,,,In Situ
tt18181892,,83,Joel Settles,Nicolas Valdez,,,Conjunto Blues
tt30324501,6.2,78,Tala Nahas,Tala Nahas,"Miss Coco Lemon, a taxi driver dreaming of a different life faces a chaotic night of business around the streets of London with her less-than-ideal customers who drive her to absolute insanity.",,Lemon
tt4562374,,86,Edward Bullard,Adam X Welton,A son and father clash after many years of misunderstanding.,,Reconciliation
tt3345076,,,Kane Massey,Kane Massey,,,Haru Natsu Aki Fuyu
tt8902990,7.6,73,Shonali Bose,Shonali Bose,"Una película basada en la historia de amor de una pareja a lo largo de 25 años, contada a través de los ojos de su valiente hija adolescente Aisha Chaudhary, diagnosticada de fibrosis pulmonar.",,The Sky Is Pink
tt11809038,,,Filip Zivanovic,Filip Zivanovic,"A hardened military Sergeant teaches a yoga class, mentally preparing them for the horrors of the inevitable World War III.",,World War Yoga
tt7918190,,0,,,,,Leaves of Grass I Trimmed with My Mower: A Collection of Dad Poems
tt5691492,,,Brenna Perez,Brenna Perez,Silas risks losing someone he never really wanted.,,Others
tt3665580,,,,,,,Carne con papas
tt9115566,9.1,100,Rien Bexkens,Gert-Jan van den Bemd,,,Stanley 911
tt4663760,5.7,,Yôjirô Arai,Shûhei Nomura,"The film takes place on a certain isolated island, at a certain middle school, and on the eve of the culture festival. A boy quits baseball after playing his whole life and has a fight with his best friend. Then, they suddenly meet a mysterious, red-eyed girl named Noruda, and a huge typhoon hits the middle school.",,Taifuu no Noruda
tt27010277,,,Andrew Thomson Taylor,Andrew Thomson Taylor,A film about a young man's transition from youth to adulthood and his struggle with his sexuality.,,Junction
tt2948806,6.5,,Philip Watts,Philip Watts,An architect in the skies tires of his creation and decides to spice things up a bit.,,Bless You
tt2837208,,,,,,,Permanently Cast
tt13799304,,41,Fabio Canale,Vitória Strada,,,La Materia
tt3559282,,93,,,,,More than Dreams
tt21439114,,,,,,,Chips and Liver Girls
tt7550732,,40,Kishore Kumar Inapanuri,Kishore Kumar Inapanuri,,,Tere Bin
tt6448698,6.1,,Khaled El Halafawy,Farouk Al-Fishawy,Kedbet Kol Youm is exploring the every-day conflicts of married couples and poses the universal question if successful marriage actually exists and how can possibly any married couple make it through?,,Kedbet Kol Youm
tt4337838,,,Frederick Criswell,Frederick Criswell,Two teens are are being hunted by a government agent after they witness a murder and receive stolen documents.,,White Blood Cell
tt1669621,,,,,,,I Wish You Love
tt8316236,6.9,100,Flávio Ferreira,Flávio Ferreira,"The eternal guilt, the attempt at redemption, the infinite ramifications. There is no turning back to what Marília has done.",,Fidalga
tt4116328,,,,,,,I Never Died a Winter Yet
tt21199366,,75,Chinneylove Eze,Chinneylove Eze,,,Moving On
tt4305310,,,Ryan Robert Minford,Evan Gorski,"Stanley, a vengeful man, begins the journey to commit his first crime; he soon comes to realize that seeking revenge isn't easy, it takes some rather dangerous stages.",,Stages of Stanley
tt5825284,,,Manu Jain,Manu Jain,"Exploring an individual's psychological journey in losing his vision, and the effects it has both upon himself and others around him. A unique opportunity to enter the world of a person with a vision disability, and his daily reality.",,Seeing Clearly
tt14807052,,,Berton Pierce,Jimb Fisher,,,The Odyssey of Doktor Vanderschloss and the Overlords of Insanity
